Index,Dates
1,"08/17/2024, 22:20"
2,"08/18/2024, 00:10"
3,"08/18/2024, 00:20"
4,"08/18/2024, 00:30"
5,"08/18/2024, 00:40"
6,"08/18/2024, 00:50"
7,"08/18/2024, 01:00"
8,"08/18/2024, 01:10"
9,"08/18/2024, 01:20"
10,"08/18/2024, 01:30"
11,"08/18/2024, 01:40"
12,"08/18/2024, 01:50"
13,"08/18/2024, 02:00"
14,"08/18/2024, 02:10"
15,"08/18/2024, 02:20"
16,"08/18/2024, 02:30"
17,"08/18/2024, 02:40"
18,"08/18/2024, 02:50"
19,"08/18/2024, 03:00"
20,"08/18/2024, 03:10"
21,"08/18/2024, 03:20"
22,"08/18/2024, 03:30"
23,"08/18/2024, 03:40"
24,"08/18/2024, 03:50"
25,"08/18/2024, 04:00"
26,"08/18/2024, 04:10"
27,"08/18/2024, 04:20"
28,"08/18/2024, 04:30"
29,"08/18/2024, 04:40"
30,"08/18/2024, 04:50"
31,"08/18/2024, 05:00"
32,"08/18/2024, 05:10"
33,"08/18/2024, 05:20"
34,"08/18/2024, 05:30"
35,"08/18/2024, 05:40"
36,"08/18/2024, 05:50"
37,"08/18/2024, 06:00"
38,"08/18/2024, 06:10"
39,"08/18/2024, 06:20"
40,"08/18/2024, 06:30"
41,"08/18/2024, 06:40"
42,"08/18/2024, 06:50"
43,"08/18/2024, 07:00"
44,"08/18/2024, 07:10"
45,"08/18/2024, 07:20"
46,"08/18/2024, 07:30"
47,"08/18/2024, 07:40"
48,"08/18/2024, 07:50"
49,"08/18/2024, 08:00"
50,"08/18/2024, 08:10"
51,"08/18/2024, 08:20"
52,"08/18/2024, 08:30"
53,"08/18/2024, 08:40"
54,"08/18/2024, 08:50"
55,"08/18/2024, 09:00"
56,"08/18/2024, 09:10"
57,"08/18/2024, 09:20"
58,"08/18/2024, 09:30"
59,"08/18/2024, 09:40"
60,"08/18/2024, 09:50"
61,"08/19/2024, 00:00"
62,"08/19/2024, 00:10"
63,"08/19/2024, 00:20"
64,"08/19/2024, 00:30"
65,"08/19/2024, 00:40"
66,"08/19/2024, 00:50"
67,"08/19/2024, 01:00"
68,"08/19/2024, 01:10"
69,"08/19/2024, 01:20"
70,"08/19/2024, 01:30"
71,"08/19/2024, 01:40"
72,"08/19/2024, 01:50"
73,"08/19/2024, 02:00"
74,"08/19/2024, 02:10"
75,"08/19/2024, 02:20"
76,"08/19/2024, 02:30"
77,"08/19/2024, 02:40"
78,"08/19/2024, 02:50"
79,"08/19/2024, 03:00"
80,"08/19/2024, 03:10"
81,"08/19/2024, 03:20"
82,"08/19/2024, 03:30"
83,"08/19/2024, 03:40"
84,"08/19/2024, 03:50"
85,"08/19/2024, 04:00"
86,"08/19/2024, 04:10"
87,"08/19/2024, 04:20"
88,"08/19/2024, 04:30"
89,"08/19/2024, 04:40"
90,"08/19/2024, 04:50"
91,"08/19/2024, 05:00"
92,"08/19/2024, 05:10"
93,"08/19/2024, 05:20"
94,"08/19/2024, 05:30"
95,"08/19/2024, 05:40"
96,"08/19/2024, 05:50"
97,"08/19/2024, 06:00"
98,"08/19/2024, 06:10"
99,"08/19/2024, 06:20"
100,"08/19/2024, 06:30"
101,"08/19/2024, 06:40"
102,"08/19/2024, 06:50"
103,"08/19/2024, 07:00"
104,"08/19/2024, 07:10"
105,"08/19/2024, 07:20"
106,"08/19/2024, 07:30"
107,"08/19/2024, 07:40"
108,"08/19/2024, 07:50"
109,"08/19/2024, 08:00"
110,"08/19/2024, 08:10"
111,"08/19/2024, 08:20"
112,"08/19/2024, 08:30"
113,"08/19/2024, 08:40"
114,"08/19/2024, 08:50"
115,"08/19/2024, 09:00"
116,"08/19/2024, 09:10"
117,"08/19/2024, 09:20"
118,"08/19/2024, 09:30"
119,"08/19/2024, 09:40"
120,"08/19/2024, 09:50"
